episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
1846,18049,0.0,6073.071009397507,0.0,49.5,7.804664611816406,7.97113037109375,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18050,0.0,6073.413989305496,0.0,49.5,7.802356719970703,7.973438262939453,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18051,0.0,6073.742695093155,0.0,49.5,7.804607391357422,7.971187591552734,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18052,0.0,6074.089380025864,0.0,49.5,7.804588317871094,7.9712066650390625,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18053,0.0,6074.4357397556305,0.0,49.5,7.804897308349609,7.970897674560547,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18054,0.0,6074.782944440842,0.5,49.5,7.804477691650391,7.971317291259766,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18055,-4.0,6075.12792468071,0.8,49.5,7.8045196533203125,7.971275329589844,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1847,18056,-1.0,6075.475276470184,3.7,49.5,7.804416656494141,7.971378326416016,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1847,18057,0.0,6075.805959224701,0.0,49.5,7.803867340087891,7.971927642822266,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1847,18058,0.0,6076.135053396225,0.0,49.5,7.803928375244141,7.971866607666016,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1847,18059,5.0,6076.479702711105,0.0,49.5,7.8038330078125,7.971961975097656,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1847,18060,0.0,6076.810892343521,0.0,49.5,7.803546905517578,7.972251892089844,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1847,18061,5.0,6077.141960382462,0.0,49.5,7.803501129150391,7.972293853759766,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18062,-3.0,6077.474029541016,3.5,49.5,7.803371429443359,7.972423553466797,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
